iter	Passed	Remaining
0	69	69477
1	77	38638
2	85	28496
3	92	23147
4	99	19820
5	105	17499
6	110	15663
7	115	14362
8	127	14063
9	138	13712
10	149	13397
11	167	13789
12	180	13732
13	204	14370
14	216	14247
15	225	13858
16	247	14300
17	256	13985
18	262	13533
19	269	13229
20	275	12849
21	281	12520
22	290	12327
23	295	12030
24	300	11735
25	307	11506
26	313	11287
27	318	11073
28	337	11290
29	355	11480
30	362	11339
31	381	11553
32	396	11632
33	409	11641
34	416	11476
35	421	11297
36	428	11161
37	434	11012
38	440	10865
39	446	10727
40	452	10593
41	458	10468
42	464	10331
43	469	10203
44	475	10095
45	481	9988
46	487	9884
47	493	9785
48	499	9687
49	505	9606
50	511	9515
51	517	9426
52	524	9373
53	535	9381
54	549	9436
55	564	9514
56	583	9659
57	594	9660
58	603	9629
59	612	9590
60	618	9526
61	625	9460
62	632	9410
63	652	9547
64	664	9564
65	677	9581
66	685	9539
67	691	9479
68	697	9413
69	703	9349
70	711	9303
71	717	9251
72	724	9193
73	731	9157
74	743	9167
75	751	9137
76	759	9103
77	769	9093
78	783	9128
79	790	9093
80	800	9081
81	808	9052
82	821	9073
83	827	9025
84	833	8970
85	839	8926
86	851	8935
87	857	8891
88	870	8912
89	877	8876
90	886	8860
91	893	8823
92	901	8787
93	907	8747
94	917	8741
95	924	8701
96	930	8662
97	946	8714
98	965	8783
99	975	8778
100	982	8742
101	988	8704
102	994	8664
103	1001	8624
104	1009	8602
105	1019	8598
106	1026	8562
107	1032	8526
108	1040	8506
109	1046	8465
110	1052	8430
111	1064	8439
112	1071	8408
113	1077	8371
114	1084	8346
115	1090	8311
116	1096	8276
117	1103	8244
118	1109	8214
119	1116	8189
120	1123	8163
121	1135	8174
122	1155	8237
123	1172	8286
124	1178	8252
125	1186	8232
126	1193	8200
127	1198	8164
128	1207	8150
129	1213	8120
130	1219	8088
131	1224	8049
132	1230	8020
133	1236	7990
134	1242	7960
135	1248	7931
136	1254	7903
137	1261	7877
138	1266	7846
139	1272	7819
140	1278	7790
141	1284	7760
142	1290	7732
143	1295	7702
144	1305	7696
145	1310	7665
146	1316	7636
147	1321	7609
148	1329	7591
149	1339	7588
150	1353	7609
151	1369	7643
152	1382	7654
153	1388	7629
154	1396	7613
155	1402	7587
156	1408	7565
157	1416	7550
158	1422	7524
159	1428	7500
160	1434	7473
161	1439	7447
162	1445	7423
163	1452	7402
164	1458	7379
165	1463	7354
166	1469	7331
167	1475	7309
168	1481	7286
169	1487	7262
170	1493	7241
171	1499	7220
172	1505	7198
173	1511	7177
174	1517	7155
175	1524	7136
176	1530	7116
177	1544	7131
178	1562	7166
179	1582	7207
180	1590	7198
181	1598	7186
182	1617	7220
183	1644	7294
184	1650	7272
185	1656	7249
186	1662	7226
187	1670	7213
188	1675	7187
189	1680	7165
190	1687	7145
191	1693	7128
192	1700	7110
193	1707	7093
194	1714	7078
195	1720	7058
196	1726	7038
197	1733	7021
198	1742	7012
199	1752	7010
200	1760	6999
201	1771	6996
202	1777	6978
203	1796	7008
204	1804	6996
205	1815	6995
206	1821	6977
207	1830	6968
208	1838	6959
209	1845	6944
210	1853	6930
211	1859	6912
212	1867	6901
213	1874	6884
214	1881	6871
215	1887	6852
216	1893	6833
217	1899	6813
218	1905	6795
219	1911	6777
220	1917	6758
221	1923	6742
222	1930	6725
223	1938	6714
224	1948	6710
225	1955	6698
226	1963	6685
227	1971	6675
228	1991	6704
229	1999	6694
230	2009	6690
231	2016	6674
232	2024	6665
233	2032	6654
234	2038	6637
235	2046	6624
236	2053	6609
237	2059	6594
238	2067	6582
239	2073	6567
240	2086	6571
241	2092	6555
242	2099	6539
243	2105	6523
244	2111	6506
245	2117	6490
246	2123	6474
247	2129	6457
248	2141	6457
249	2150	6450
250	2157	6438
251	2179	6469
252	2186	6454
253	2192	6438
254	2201	6431
255	2207	6415
256	2213	6400
257	2222	6392
258	2228	6376
259	2235	6362
260	2241	6347
261	2247	6330
262	2253	6314
263	2259	6298
264	2265	6284
265	2273	6273
266	2280	6261
267	2287	6246
268	2294	6235
269	2300	6219
270	2306	6205
271	2313	6191
272	2320	6179
273	2326	6164
274	2332	6149
275	2344	6150
276	2371	6188
277	2380	6182
278	2386	6166
279	2394	6156
280	2400	6141
281	2406	6125
282	2413	6115
283	2420	6102
284	2426	6087
285	2432	6073
286	2438	6059
287	2444	6044
288	2450	6029
289	2457	6016
290	2463	6001
291	2468	5986
292	2475	5972
293	2481	5958
294	2487	5943
295	2493	5929
296	2499	5915
297	2505	5901
298	2511	5887
299	2520	5881
300	2526	5867
301	2534	5858
302	2540	5844
303	2561	5863
304	2586	5893
305	2608	5917
306	2627	5931
307	2636	5922
308	2643	5912
309	2652	5903
310	2658	5890
311	2667	5881
312	2675	5872
313	2681	5858
314	2687	5843
315	2693	5830
316	2699	5815
317	2705	5801
318	2712	5789
319	2717	5775
320	2723	5761
321	2729	5747
322	2735	5733
323	2747	5732
324	2778	5771
325	2788	5766
326	2802	5768
327	2811	5759
328	2818	5747
329	2824	5735
330	2835	5730
331	2845	5725
332	2852	5712
333	2858	5699
334	2863	5685
335	2869	5671
336	2876	5658
337	2881	5643
338	2887	5629
339	2893	5616
340	2899	5602
341	2904	5588
342	2910	5574
343	2916	5560
344	2922	5548
345	2928	5534
346	2933	5520
347	2939	5506
348	2950	5504
349	2958	5494
350	2967	5486
351	2975	5478
352	2984	5470
353	3004	5482
354	3010	5469
355	3016	5456
356	3025	5448
357	3031	5436
358	3042	5431
359	3048	5420
360	3055	5408
361	3062	5396
362	3068	5383
363	3074	5371
364	3079	5358
365	3086	5346
366	3092	5333
367	3100	5325
368	3106	5312
369	3112	5300
370	3118	5286
371	3123	5273
372	3129	5260
373	3135	5247
374	3140	5234
375	3149	5226
376	3159	5221
377	3167	5212
378	3177	5205
379	3190	5204
380	3196	5192
381	3202	5180
382	3209	5171
383	3215	5158
384	3221	5146
385	3229	5137
386	3236	5126
387	3246	5120
388	3252	5108
389	3259	5098
390	3266	5087
391	3272	5075
392	3278	5064
393	3285	5053
394	3292	5042
395	3298	5030
396	3304	5019
397	3310	5007
398	3319	5000
399	3325	4988
400	3331	4976
401	3337	4964
402	3345	4955
403	3359	4955
404	3382	4970
405	3389	4959
406	3395	4946
407	3403	4938
408	3409	4926
409	3415	4914
410	3421	4903
411	3428	4892
412	3434	4881
413	3440	4869
414	3446	4858
415	3453	4847
416	3458	4835
