Model,Encoding,Boundary,Imbalanced,Precision(Train),Recall(Train),F1 Score(Train),ROC-AUC(Train),Precision(Test),Recall(Test),F1 Score(Test),ROC-AUC(Test)
LogR_l1_saga,Original,QUANTILE,InstanceHardnessThreshold,0.5714285714285714,0.0618556701030927,0.1116279069767441,0.771475600549498,0.06,0.072289156626506,0.0655737704918032,0.5969782455154866
LogR_elastic,Original,QUANTILE,InstanceHardnessThreshold,0.631578947368421,0.0618556701030927,0.1126760563380281,0.7719923020754693,0.0555555555555555,0.072289156626506,0.06282722513089,0.5971186769704805
LogR_l2_lbfgs,Original,SIGMA,InstanceHardnessThreshold,0.7,0.1082474226804123,0.1874999999999999,0.7867560219471988,0.052863436123348,0.144578313253012,0.0774193548387096,0.597932353342062
LogR_l2_newton_cg,Original,SIGMA,InstanceHardnessThreshold,0.7,0.1082474226804123,0.1874999999999999,0.7867098885416923,0.052863436123348,0.144578313253012,0.0774193548387096,0.5979571353635316
LogR_l2_saga,Original,SIGMA,InstanceHardnessThreshold,0.6785714285714286,0.0979381443298969,0.1711711711711711,0.7846523386561031,0.0542986425339366,0.144578313253012,0.0789473684210526,0.5985147308465952
LogR_l2_sag,Original,SIGMA,InstanceHardnessThreshold,0.6785714285714286,0.0979381443298969,0.1711711711711711,0.7850644637452944,0.0538116591928251,0.144578313253012,0.0784313725490196,0.5985808162371804
LogR_l2_liblinear,Original,SIGMA,InstanceHardnessThreshold,0.6785714285714286,0.0979381443298969,0.1711711711711711,0.7854335309893461,0.0535714285714285,0.144578313253012,0.0781758957654723,0.5986840746599701
LogR_elastic,Original,SIGMA,InstanceHardnessThreshold,0.6153846153846154,0.0824742268041237,0.1454545454545454,0.7837142927441381,0.0511627906976744,0.1325301204819277,0.0738255033557047,0.6000966498837309
LogR_l1_liblinear,Original,SIGMA,InstanceHardnessThreshold,0.5555555555555556,0.0773195876288659,0.1357466063348416,0.780915532810078,0.0538116591928251,0.144578313253012,0.0784313725490196,0.6013192296095593
LogR_l1_saga,Original,SIGMA,InstanceHardnessThreshold,0.5555555555555556,0.0773195876288659,0.1357466063348416,0.7819335432915877,0.0547945205479452,0.144578313253012,0.0794701986754966,0.6014431397169067
Tree_10,Original,SIGMA,InstanceHardnessThreshold,0.9609375,0.634020618556701,0.7639751552795031,0.9068997121275496,0.0505836575875486,0.3132530120481928,0.0871021775544388,0.5628802491419225
Tree_10,Original,Original,KMeansSMOTE,0.9646413623899552,0.98164194448524,0.9730674042800992,0.9917099595973886,0.0611111111111111,0.1325301204819277,0.0836501901140684,0.5634915390048366
Tree_10,Original,SIGMA,BorderlineSMOTE_1,0.9578477916846496,0.9782544813399942,0.967943592352984,0.9910211396678648,0.0449438202247191,0.0963855421686747,0.0613026819923371,0.5701393162640277
Tree,Original,Original,InstanceHardnessThreshold,1.0,1.0,1.0,1.0,0.0462249614791987,0.3614457831325301,0.081967213114754,0.574620731813094
Tree_40,Original,Original,InstanceHardnessThreshold,1.0,1.0,1.0,1.0,0.0462249614791987,0.3614457831325301,0.081967213114754,0.574620731813094
Tree_30,Original,Original,InstanceHardnessThreshold,1.0,1.0,1.0,1.0,0.0462249614791987,0.3614457831325301,0.081967213114754,0.574620731813094
Tree_20,Original,Original,InstanceHardnessThreshold,1.0,1.0,1.0,1.0,0.0462249614791987,0.3614457831325301,0.081967213114754,0.574620731813094
Tree_40,Original,SIGMA,InstanceHardnessThreshold,1.0,1.0,1.0,1.0,0.0461538461538461,0.3975903614457831,0.0827067669172932,0.5818942551143896
Tree,Original,SIGMA,InstanceHardnessThreshold,1.0,1.0,1.0,1.0,0.0461538461538461,0.3975903614457831,0.0827067669172932,0.5818942551143896
Tree_30,Original,SIGMA,InstanceHardnessThreshold,1.0,1.0,1.0,1.0,0.0461538461538461,0.3975903614457831,0.0827067669172932,0.5818942551143896
GB,Original,IRQ,Original,1.0,0.010309278350515464,0.020408163265306124,0.9065530414340288,0.0,0.0,0.0,0.6074156068910541
RF,Original,QUANTILE,EditedNearestNeighbours_mode,1.0,0.9948453608247423,0.9974160206718347,0.999999620424214,0.0,0.0,0.0,0.6074238675648773
RF,Original,Original,InstanceHardnessThreshold,1.0,1.0,1.0,1.0,0.04405286343612335,0.12048192771084337,0.06451612903225806,0.6077563596862596
RF,Original,SIGMA,SMOTE,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.6083118900008674
RF,Original,QUANTILE,EditedNearestNeighbours_all,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.6084523214558611
GB,Original,IRQ,RepeatedEditedNearestNeighbours_all,1.0,0.020618556701030927,0.04040404040404041,0.9215922957433863,0.0,0.0,0.0,0.608799269756434
GB,Original,IRQ,BorderlineSMOTE_2,0.9920900517188926,0.9582721128416103,0.9748878923766815,0.9912018759441054,0.11538461538461539,0.03614457831325301,0.055045871559633024,0.6125310291560483
RF,Original,Original,RandomUnderSampler,1.0,1.0,1.0,1.0,0.0367816091954023,0.5783132530120482,0.06916426512968299,0.6143710942501579
GB,Original,IRQ,NeighbourhoodCleaningRule,1.0,0.02577319587628866,0.05025125628140704,0.9152713908875668,0.0,0.0,0.0,0.6144413099776548
RF,Original,QUANTILE,KMeansSMOTE,1.0,0.9998531139835488,0.9999265515975029,0.999999989209079,0.0,0.0,0.0,0.6152735728653387
